,NDVI
2000-02-29,0.2159514546929713
2000-03-31,0.22400988626774565
2000-04-30,0.2290387389126422
2000-05-31,0.232679404227775
2000-06-30,0.2860577350761693
2000-07-31,0.3851529654652093
2000-08-31,0.5371379368719408
2000-09-30,0.5641060691618451
2000-10-31,0.4715631030640899
2000-11-30,0.3718865651250527
2000-12-31,0.3221508834635998
2001-01-31,0.2759356837441049
2001-02-28,0.2371592585099767
2001-03-31,0.2320580791443197
2001-04-30,0.22220778991686857
2001-05-31,0.2303511463454493
2001-06-30,0.3126233615197168
2001-07-31,0.44982966174792294
2001-08-31,0.5500270710594799
2001-09-30,0.5656411067987721
2001-10-31,0.4642750659744454
2001-11-30,0.3658412003610095
2001-12-31,0.3051280314986645
2002-01-31,0.25826819425432607
2002-02-28,0.22833992901374242
2002-03-31,0.2128298731860378
2002-04-30,0.20796405907989826
2002-05-31,0.20871014977558056
2002-06-30,0.29422026608657703
2002-07-31,0.3500634869804067
2002-08-31,0.4627068086325613
2002-09-30,0.49374598275026305
2002-10-31,0.4491326917449493
2002-11-30,0.3462832622952742
2002-12-31,0.28206666543164927
2003-01-31,0.24126909919248865
2003-02-28,0.21786852085774655
2003-03-31,0.201274135378864
2003-04-30,0.19655569006085588
2003-05-31,0.19820812046989356
2003-06-30,0.23438717196930936
2003-07-31,0.36569695007277536
2003-08-31,0.5370423953107581
2003-09-30,0.5490504358883042
2003-10-31,0.5019824421542006
2003-11-30,0.4103702609968778
2003-12-31,0.3322509920108425
2004-01-31,0.2956088625185116
2004-02-29,0.2511200569060241
2004-03-31,0.22643826869732964
2004-04-30,0.2408645252456637
2004-05-31,0.24471400588005704
2004-06-30,0.31741769340409487
2004-07-31,0.43666005959844856
2004-08-31,0.565194289157118
2004-09-30,0.5678976827254005
2004-10-31,0.4198639267987355
2004-11-30,0.3334385156028372
2004-12-31,0.3077868199195747
2005-01-31,0.2475621969476023
2005-02-28,0.23915669497977837
2005-03-31,0.2366054677587192
2005-04-30,0.22662761673827572
2005-05-31,0.24584628532055713
2005-06-30,0.3017527936692338
2005-07-31,0.468326492945516
2005-08-31,0.572816822996743
2005-09-30,0.5811598400421745
2005-10-31,0.5009045253264802
2005-11-30,0.4105847394402452
2005-12-31,0.3330499054472532
2006-01-31,0.2860599668869251
2006-02-28,0.2610883764829013
2006-03-31,0.23600446403415803
2006-04-30,0.24308146743170883
2006-05-31,0.24978839698089528
2006-06-30,0.3196415013708908
2006-07-31,0.4143757024111744
2006-08-31,0.5517006772523552
2006-09-30,0.5531115252505436
2006-10-31,0.4612323073168935
2006-11-30,0.3724880223698275
2006-12-31,0.30520092275604804
2007-01-31,0.2590572774365996
2007-02-28,0.23127707334762598
2007-03-31,0.22129853350554843
2007-04-30,0.22536875265103817
2007-05-31,0.2240531655196376
2007-06-30,0.255866614538179
2007-07-31,0.34433466848967953
2007-08-31,0.5097938132006403
2007-09-30,0.5816705495023105
2007-10-31,0.47452085585405723
2007-11-30,0.3827910871538257
2007-12-31,0.32105973941429167
2008-01-31,0.2647539827307202
2008-02-29,0.236776471883675
2008-03-31,0.2231576745032916
2008-04-30,0.21547112948024172
2008-05-31,0.23651361967574186
2008-06-30,0.31615828076757735
2008-07-31,0.46346084148406597
2008-08-31,0.5356209231669276
2008-09-30,0.5648589542906663
2008-10-31,0.4472259444635429
2008-11-30,0.36222503019357216
2008-12-31,0.3202531351277659
2009-01-31,0.28470505860060646
2009-02-28,0.24548938234257633
2009-03-31,0.24074047494365447
2009-04-30,0.2355600698926536
2009-05-31,0.2397378072553176
2009-06-30,0.28445509410839376
2009-07-31,0.43528935777039646
2009-08-31,0.5525128674208022
2009-09-30,0.5734096693956441
2009-10-31,0.5026839013813048
2009-11-30,0.4150886466527566
2009-12-31,0.34226689842223934
2010-01-31,0.28946548381820986
2010-02-28,0.25871211889369333
2010-03-31,0.2298265089567697
2010-04-30,0.23911436342353368
2010-05-31,0.24216496452591288
2010-06-30,0.3037933169561591
2010-07-31,0.4843818764748982
2010-08-31,0.5664852134516645
2010-09-30,0.6166188742388532
2010-10-31,0.5235373849703983
2010-11-30,0.42681811498667155
2010-12-31,0.35787384084074914
2011-01-31,0.3002066417053456
2011-02-28,0.26224048123106247
2011-03-31,0.24494011417932776
2011-04-30,0.24800186069344848
2011-05-31,0.26228422626870396
2011-06-30,0.3057679651707973
2011-07-31,0.4113770689538395
2011-08-31,0.5296312991718174
2011-09-30,0.5745057541848091
2011-10-31,0.4503236096165874
2011-11-30,0.38493007850736205
2011-12-31,0.3082325655558854
2012-01-31,0.26419348306110013
2012-02-29,0.23446733259685426
2012-03-31,0.22465957233606762
2012-04-30,0.22763862014300232
2012-05-31,0.23830527880249958
2012-06-30,0.28357324078029134
2012-07-31,0.4293415108995696
2012-08-31,0.546803353487251
2012-09-30,0.6012695283700079
2012-10-31,0.5045111885952243
2012-11-30,0.4042458837726166
2012-12-31,0.3596380781635755
2013-01-31,0.300607991550246
2013-02-28,0.2638532686427273
2013-03-31,0.25252474641417716
2013-04-30,0.25284640946965575
2013-05-31,0.24815224800983027
2013-06-30,0.3148023379281871
2013-07-31,0.3750555178743179
2013-08-31,0.5458725781334337
2013-09-30,0.5776769465263365
2013-10-31,0.5044529247655893
2013-11-30,0.4095768804615235
2013-12-31,0.3405866535691431
2014-01-31,0.2862173035132184
2014-02-28,0.24506257959272915
2014-03-31,0.2325255781983196
2014-04-30,0.23106274281620368
2014-05-31,0.2544329655785058
2014-06-30,0.29447891560588957
2014-07-31,0.3387118305223447
2014-08-31,0.4728510095039602
2014-09-30,0.529110328518189
2014-10-31,0.4601141029838815
