,NDVI
2000-02-29,0.49935678818164414
2000-03-31,0.5337171388654371
2000-04-30,0.48316313892298607
2000-05-31,0.3767472909078056
2000-06-30,0.31218155379732004
2000-07-31,0.2801434113521518
2000-08-31,0.2582479600547323
2000-09-30,0.2874460667538857
2000-10-31,0.3505924723885969
2000-11-30,0.3969789033594122
2000-12-31,0.45585023398788566
2001-01-31,0.4496214179307145
2001-02-28,0.4613145713159413
2001-03-31,0.47101312917270455
2001-04-30,0.4516027958901772
2001-05-31,0.3670096009442109
2001-06-30,0.3127152262095189
2001-07-31,0.2763821838814128
2001-08-31,0.26237672359986597
2001-09-30,0.2842517658627448
2001-10-31,0.3211505845564796
2001-11-30,0.39831660005515246
2001-12-31,0.4890908533278022
2002-01-31,0.5014507642459458
2002-02-28,0.4954105642245773
2002-03-31,0.477589693812315
2002-04-30,0.3978393737268533
2002-05-31,0.3327859655466703
2002-06-30,0.2892759854885364
2002-07-31,0.2571904196389664
2002-08-31,0.275356076830632
2002-09-30,0.3023820040993379
2002-10-31,0.34295185796951766
2002-11-30,0.3556783588543353
2002-12-31,0.4305536164431945
2003-01-31,0.4754354693492036
2003-02-28,0.4989369614496979
2003-03-31,0.4799442195179331
2003-04-30,0.4459912663958506
2003-05-31,0.36814879617240415
2003-06-30,0.29159007632132683
2003-07-31,0.2602244738896218
2003-08-31,0.25025827134764533
2003-09-30,0.26500522808274046
2003-10-31,0.27374060510950504
2003-11-30,0.3238101133412987
2003-12-31,0.3850267256601485
2004-01-31,0.4390799134104242
2004-02-29,0.4996987354917221
2004-03-31,0.5143724104235013
2004-04-30,0.45228745518067814
2004-05-31,0.3535664355955971
2004-06-30,0.30145685115594145
2004-07-31,0.2684229849454713
2004-08-31,0.2612870969372344
2004-09-30,0.2758488426755492
2004-10-31,0.34174124917671433
2004-11-30,0.3832502306429987
2004-12-31,0.435523758837959
2005-01-31,0.4867121721014508
2005-02-28,0.5088008699145252
2005-03-31,0.4972252212285486
2005-04-30,0.43373226337029525
2005-05-31,0.34522890300933406
2005-06-30,0.29889344214617436
2005-07-31,0.2740484187375741
2005-08-31,0.2666874018696054
2005-09-30,0.27887441339431973
2005-10-31,0.3163008391825841
2005-11-30,0.3751200536712084
2005-12-31,0.39448691328235785
2006-01-31,0.4665566919096733
2006-02-28,0.5375925315888654
2006-03-31,0.5233235661408255
2006-04-30,0.49116691785572647
2006-05-31,0.3815600903272508
2006-06-30,0.3067788156489905
2006-07-31,0.2837225780344321
2006-08-31,0.2665789089749815
2006-09-30,0.3014249984595752
2006-10-31,0.35931186638710777
2006-11-30,0.4081384174124782
2006-12-31,0.4524103041462273
2007-01-31,0.4581998358963093
2007-02-28,0.4519507350752135
2007-03-31,0.4066690817052459
2007-04-30,0.3713687267575856
2007-05-31,0.31945348042754873
2007-06-30,0.25457790671758146
2007-07-31,0.2516018296354011
2007-08-31,0.2486369638772279
2007-09-30,0.2656680338868416
2007-10-31,0.32790123362383555
2007-11-30,0.36166092260778704
2007-12-31,0.4550869935363438
2008-01-31,0.49021435464170254
2008-02-29,0.508103153108905
2008-03-31,0.5033376704235016
2008-04-30,0.43545410374619353
2008-05-31,0.363029958176804
2008-06-30,0.3046322617804426
2008-07-31,0.27855916416884624
2008-08-31,0.2655216287749367
2008-09-30,0.2645005589466612
2008-10-31,0.2839663361091052
2008-11-30,0.33691893345468565
